http://	<urlopen error no host given>
http://www.malcolmturnbull.com.au/media/doorstop-announcing-the-coalitions-plan-for-jobs-and-growth-in-tasmania	HTTP Error 403: Forbidden
http://www.afr.com/p/national/alcoa_banks_windfall_from_excess_GXwNPgs1t59XXSGeGvgcjM	The read operation timed out
http://www.asic.gov.au/about-asic/what-we-do/laws-we-administer/	HTTP Error 403: Forbidden
http://www.ncoa.gov.au/report/index.html	HTTP Error 404: Not Found
http://studyassist.gov.au/sites/StudyAssist/HelpfulResources/Documents/2014%20FEE-HELP%20booklet.pdf	HTTP Error 404: Not Found
http://www.fsc.org.au/downloads/file/MediaReleaseFile/2016_0408_RoyalCommissionintoFinancialServicesisnottherightapproachFINAL.pdf	HTTP Error 404: Not Found
http://www.handsoffcain.info/bancadati/index.php?tipotema=arg&idtema=17308118	HTTP Error 404: Not Found
http://www.financeminister.gov.au/media/2014/0902-failed-mining-tax.html	HTTP Error 404: Not Found
https://www.theccc.org.uk/tackling-climate-change/reducing-carbon-emissions/carbon-budgets-and-targets/	HTTP Error 403: Forbidden
https://www.ato.gov.au/Individuals/Dealing-with-disasters/Previous-years/Flood-levy/Flood-levy-information-for-individuals/	HTTP Error 403: Forbidden
https://twitter.com/intent/tweet?text=Can%20Australia%20become%20the%20world\'s%20leading%20LNG%20exporter%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2013-10-14%2Fmacfarlane-lng-exports%2F5014018&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://twitter.com/intent/tweet?text=Fact%20check%3A%20Did%20the%20Government%20inherit%20the%20\'worst%20set%20of%20accounts\'%20in%20history%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2015-03-18%2Ffact-check--australia27s-economic-inheritance%2F6162670&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
http://www.nt.gov.au/justice/policycoord/documents/statistics/mandatory_sentencing_nt_experience_20031201.pdf	HTTP Error 404: Not Found
http://www.nbnco.com.au/assets/documents/nbn-co-corporate-plan-6-aug-2012.pdf#page=15	HTTP Error 404: Not Found
http://www.opc.org.au/downloads/positionpapers/policy-brief-health-star-rating-system.pdf	HTTP Error 404: Not Found
https://www.listgbarristers.com.au/barristers/peter-hanks-qc	HTTP Error 403: Forbidden
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/QFGZj/4?abcnewsembedheight=370	HTTP Error 404: Not Found
http://www.liberal.org.au/latest-news/2013/05/23/tony-abbott-transcript-joint-press-conference-tasmania	HTTP Error 403: Forbidden
http://cf.datawrapper.de/l6AVB/3/?abcnewsembedheight=500	HTTP Error 403: Forbidden
http://www.mfa.gov.sg/content/dam/mfa/images/om/beijing/AVA%20List/authorised%20visa%20agents%20Apr2014.pdf	HTTP Error 404: Not Found
https://twitter.com/intent/tweet?text=Fact%20check%3A%20Abbott%20exaggerating%20India\'s%20record%20on%20nuclear%20non-proliferation%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2014-09-24%2Ftony-abbott-india-uranium-record-fact-check%2F5736514&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://twitter.com/intent/tweet?text=Jobs%20and%20unemployment%3A%20What\'s%20the%20real%20story%20in%20Tasmania%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2014-03-03%2Fjobs-and-unemployment-whats-the-real-story-in-tasmania%2F5275438&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
http://www.usa.embassy.gov.au/whwh/visiting_australia.html	HTTP Error 404: Not Found
https://infrastructure.gov.au/roads/environment/forum/	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://www.tga.gov.au/newsroom/btn-liquid-nicotine.htm	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
https://www.abc.net.au//datawrapper.dwcdn.net/sozMy/6?abcnewsembedheight=370	HTTP Error 404: Not Found
https://standingupforsouthaustralia.com.au/media/new-189-million-commitment-to-keep-building-south-australia/	hostname 'standingupforsouthaustralia.com.au' doesn't match either of '*.azurewebsites.net', '*.scm.azurewebsites.net', '*.azure-mobile.net', '*.scm.azure-mobile.net', '*.sso.azurewebsites.net'
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/1Vu6W/4?abcnewsembedheight=300	HTTP Error 404: Not Found
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/mxtsj/3?abcnewsembedheight=355	HTTP Error 404: Not Found
http://www.professionalpharmacists.com.au/groups/pharmacists/about/?id=2720	HTTP Error 404: Not Found
https://www.jrf.org.uk/report/cold-comfort-social-and-environmental-determinants-excess-winter-deaths-england-1986-1996	HTTP Error 403: Forbidden
http://fsi.stanford.edu/sites/default/files/Weiss_India_and_the_NPT.pdf#page=5	HTTP Error 404: Not Found
http://www.regional.gov.au/regional/ona/nalwt_files/Chapter_02-Land_and_Soil_Resources_in_northern_Australia.pdf	HTTP Error 404: Not Found
http://m.asx.com.au/m/	<urlopen error [Errno 11001] getaddrinfo failed>
http://www.aihw.gov.au/WorkArea/DownloadAsset.aspx?id=60129550805	HTTP Error 403: Forbidden
http://www.fas.org/sgp/jud/kiriakou/indict.pdf	HTTP Error 403: Forbidden
http://mines.industry.qld.gov.au/assets/land-tenure-pdf/land_access_code_nov2010.pdf	<urlopen error [Errno 11001] getaddrinfo failed>
